commentId,videoId,commentLikesCount,comments
UgyF2aSARru_-DUgwj94AaABAg,zWg7U0OEAoE,2,Ashutosh  Rana  teaching  DS  Algo
UgzNnRLDx73EobqE_nV4AaABAg,zWg7U0OEAoE,0,can  i  know  the  book  name  he  is  following
Ugwk4BduA-V1d6U-35R4AaABAg,zWg7U0OEAoE,2,Main  goal  of  indian  education      make  everything  boring  and  theoritical  
Ugw8gLrULwRgvWUGlp94AaABAg,zWg7U0OEAoE,0,in  lockdown
Ugw6y2tfRRGaM0v8EkJ4AaABAg,zWg7U0OEAoE,0,Who  else  think  that  this  prof    looks  like  aashutosh  Rana  
Ugyl87WZJSP7LMZcEmp4AaABAg,zWg7U0OEAoE,0,where  I  can  find  all  slides  for  this  code    Quality  of  video  is  very  bad  
UgxZpxZlR1jlhBNYrvB4AaABAg,zWg7U0OEAoE,0,Why  these  much  views  on  this  lecture    it's  jus  a  basic  introductory  lecture  n  nothing  else    more  important  lectures  comes  later  in  the  series
UgxYFvcxpgl3uFUCuM54AaABAg,zWg7U0OEAoE,4,Watching  this  video  after  13  years  from  the  uploaded  date  
Ugx01hDBEnvk8FmdFpZ4AaABAg,zWg7U0OEAoE,0,Thanks  Dr  Naveen  Sir    Day  1  Summary      Asymptotic  Notation      1    Big  O        upperbound    f    g  then  f  n    O  g  n      2    Big  Omega        Lower  bound      f    g  then  f  n        g  n        3    Big  Theta        tight  Bounds        f    a  g  and  f    b  g      or  f  g  then  f  n        g  n        4    Little  O        Strictly  upper    f  g  then  f  n    o  g  n        5    Little  Omega        Strictly  lower    f  g  then  f  n        g  n      
UgxG3-cx912mSsetIKJ4AaABAg,zWg7U0OEAoE,3,anyone  else  paying  their  university  thousands  just  to  point  you  to  this  video  
UgwqqPC0eCd54QAiATx4AaABAg,zWg7U0OEAoE,0,I  am  newbie  in  programming    and  we  have  data  structures  and  algorithms  in  our  course    so  can  anyone  experienced  tell  me  are  these  lectures  sufficient  even  now    I  don't  know  that  whether  new  technology  comes  in  data  structures  after  some  years    so  can  anybody  explain  whether  I  can  start  data  structures  from  these  lectures  and  be  able  to  enhance  knowledge  in  future  
UgwSw7ZSw_0AU1OBF4Z4AaABAg,zWg7U0OEAoE,0,Sir  I  apply  for  data  analytics  with  python  I  want  Ramesh  sir  no  pls  sir  give  a  no
UgxvpkjH9xglAUy7Hhh4AaABAg,zWg7U0OEAoE,3,Sir  I  have  worked  at  amz    offers  from  multiple  major  big  companies    all  becuz  of  you  and  Coursera's  Robert  Sedgewick    Thank  you  for  this  course      
UgzOSgRFS-XHwtJr0P94AaABAg,zWg7U0OEAoE,0,Is  it  ds  in  C    
UgziphDVWDwOPWJ3d8t4AaABAg,zWg7U0OEAoE,0,Gate  previous  year  Easy  explained  questions    https      youtu  be  h  9IwRiT5Xk
Ugy1JV9fp5PQT6HAgvJ4AaABAg,zWg7U0OEAoE,0,Gate  previous  year  Easy  explained  questions    https      youtu  be  h  9IwRiT5Xk
UgxniZCOoNr-9NWgBwp4AaABAg,zWg7U0OEAoE,1,Quality  is  very  bad
UgyTrd8IDbJKlXyuST14AaABAg,zWg7U0OEAoE,1,An  efficient  and  beautiful  lecture    Thankyou  sir  
UgwZpSJbsTnhq9LiAx94AaABAg,zWg7U0OEAoE,0,Anyone  who  came  here  after  GfG  
UgwOoYXXjfycIZT9rax4AaABAg,zWg7U0OEAoE,47,NPTEL  is  one  of  the  greatest  initiative  by  IIT's    Thanks  to  all  the  teachers  who  put  up  so  much  effort  
Ugxa_5hoUMNTGX8CumN4AaABAg,zWg7U0OEAoE,1,Is  it  still  reliable  in  2020  
UgzYH6KXltTuIQacP5B4AaABAg,zWg7U0OEAoE,0,is  this  in  java  or  cpp
UgwPYm3pzbZ-0MAr38B4AaABAg,zWg7U0OEAoE,0,Good  one
UgyFSSpAYNHp6KZ4w5l4AaABAg,zWg7U0OEAoE,2,For  all  those  watching  in  2020  and  struggling  with  video  quality      Pdf  version  of  all  his  slides  https      docs  google  com  file  d  0B8k30N0dAVZlejlsMTFuMXBnNjA  edit
Ugzt6BwQ01WICDXeXdl4AaABAg,zWg7U0OEAoE,0,9182593497  Whatsapp  Num      Online  classes  for    Computer  Science  Students    Btech  Jntua      duration  30  Days  Fees    3000    any  Subject  in  Computer  Science    contact    9182593497  Tirupati    Name  Venkatesh  Experience    3  6  Yrs  as  Assistant  Professor
Ugx-xMuiZyFEte3LZ754AaABAg,zWg7U0OEAoE,0,Who  is  here  after  TCSion  course      
Ugy1szBRPmcr11S25IJ4AaABAg,zWg7U0OEAoE,0,for  3rd    4th  year    placement        https      chat  whatsapp  com  Gi9AX03RWAQE0smgZ4oR4L      for  1st  2nd  year      https      chat  whatsapp  com  F4YhqqH5AjZ9xWCkh8E4Bt
Ugwj3VA5EzvlJaCE4dN4AaABAg,zWg7U0OEAoE,0,Why  there  is  add  on  this  videos                I  am  unable  to  download
