commentId,videoId,comment,commentAuthor,commentLikesCount,commentTimeStamp
UgwQ53x-BZp-bj_o7sJ4AaABAg,zWg7U0OEAoE,U r mobile number,Janasena Party Official,0,2021-06-21T14:19:43Z
UgyF2aSARru_-DUgwj94AaABAg,zWg7U0OEAoE,Ashutosh Rana teaching DS Algo😂😂,Prashant Kumar Jha,2,2021-05-29T18:20:57Z
UgzNnRLDx73EobqE_nV4AaABAg,zWg7U0OEAoE,can i know the book name he is following,shiva sri,0,2021-05-13T11:33:17Z
Ugwk4BduA-V1d6U-35R4AaABAg,zWg7U0OEAoE,Main goal of indian education : make everything boring and theoritical ✌️,shawn prestene,2,2021-05-03T19:49:16Z
Ugw8gLrULwRgvWUGlp94AaABAg,zWg7U0OEAoE,in lockdown,ANIL DAAL,0,2021-05-02T14:17:52Z
UgxwxJY_OqUpAvnGn2F4AaABAg,zWg7U0OEAoE,Sir looks like Ashutosh Rana,Parag Ramteke,0,2021-04-23T04:43:13Z
Ugw6y2tfRRGaM0v8EkJ4AaABAg,zWg7U0OEAoE,Who else think that this prof  looks like aashutosh Rana 🤣,Kgf Dun,0,2021-04-17T16:28:28Z
Ugyl87WZJSP7LMZcEmp4AaABAg,zWg7U0OEAoE,where I can find all slides for this code. Quality of video is very bad.,shaanyahoo,0,2021-04-13T11:25:29Z
UgxZpxZlR1jlhBNYrvB4AaABAg,zWg7U0OEAoE,"Why these much views on this lecture😳 ,it's jus a basic introductory lecture n nothing else ,more important lectures comes later in the series",Kgf Dun,0,2021-03-27T10:07:47Z
UgxYFvcxpgl3uFUCuM54AaABAg,zWg7U0OEAoE,Watching this video after 13 years from the uploaded date.,NELSON JOSEPH,4,2021-02-13T20:39:44Z
Ugx01hDBEnvk8FmdFpZ4AaABAg,zWg7U0OEAoE,"Thanks Dr Naveen Sir.
Day 1 Summary :
Asymptotic Notation :
1. Big O - (upperbound) f<=g then f(n)=O(g(n))
2. Big Omega - (Lower bound ) f>=g then f(n)=Ω(g(n)).
3. Big Theta - (tight Bounds) ( f<=a*g and f>=b*g ) or f=g then f(n)=Θ(g(n)).
4. Little O - (Strictly upper) f<g then f(n)=o(g(n)).
5. Little Omega : (Strictly lower) f>g then f(n)=ω(g(n)).",Mad Geek,0,2021-02-11T02:45:22Z
UgxG3-cx912mSsetIKJ4AaABAg,zWg7U0OEAoE,anyone else paying their university thousands just to point you to this video?,Prince Honkey,3,2021-01-30T19:29:59Z
