replyId,videoId,parentCommentId,replyAuthor,reply,replyTimeStamp,replylikesCount,clean_reply,reply_language
Ugwk4BduA-V1d6U-35R4AaABAg.9Mta--N7vja9OZKRJmju2w,zWg7U0OEAoE,Ugwk4BduA-V1d6U-35R4AaABAg,shawn prestene,"@Umashankar Singh bro 70 years since we got independence , still they won't change it because education is controlled by stupid government",2021-06-14T06:43:19Z,0,"@Umashankar Singh bro 70 years since we got independence , still they won't change it because education is controlled by stupid government",en
Ugwk4BduA-V1d6U-35R4AaABAg.9Mta--N7vja9OZJEEMHZLD,zWg7U0OEAoE,Ugwk4BduA-V1d6U-35R4AaABAg,Umashankar Singh,Its not Indian education  it's mckaley education.,2021-06-14T06:32:48Z,0,Its not Indian education  it's mckaley education.,en
Ugyl87WZJSP7LMZcEmp4AaABAg.9M4BRenB8pT9NfXyOkRQmw,zWg7U0OEAoE,Ugyl87WZJSP7LMZcEmp4AaABAg,T N,This was taken 12-14 years back,2021-05-23T05:24:51Z,0,This was taken 12-14 years back,en
UgwqqPC0eCd54QAiATx4AaABAg.9IPsidVtpfj9LL0LyIL5B0,zWg7U0OEAoE,UgwqqPC0eCd54QAiATx4AaABAg,ASUTOSH GHANTO IIIT Dharwad,"it is more than enough ,There is not much improvement in datastructure algo technology.These are the building blocks of major softwares.",2021-03-26T03:44:16Z,0,"it is more than enough ,There is not much improvement in datastructure algo technology.These are the building blocks of major softwares.",en
UgxniZCOoNr-9NWgBwp4AaABAg.9DLwyO_n1jF9DwSNy3BOhJ,zWg7U0OEAoE,UgxniZCOoNr-9NWgBwp4AaABAg,Lavan Kumar Ganji,"but the content is awesome.  :) 
PS: Kindly checkout my channel for mock interview .",2020-09-23T05:49:12Z,0,"but the content is awesome.  :) 
PS: Kindly checkout my channel for mock interview .",en
UgxniZCOoNr-9NWgBwp4AaABAg.9DLwyO_n1jF9DjUZc4wDZG,zWg7U0OEAoE,UgxniZCOoNr-9NWgBwp4AaABAg,Sai,You mean video quality? It's from 2008,2020-09-18T04:58:09Z,1,You mean video quality? It's from 2008,en
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9EYYrlCA53p,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,Aditya Raj,https://www.youtube.com/channel/UCSvlRMaml8RgQ_jp3BJkN7Q it is very beneficial bro .bcz u can get all solution regarding these  from here,2020-10-08T10:16:13Z,0,https://www.youtube.com/channel/UCSvlRMaml8RgQ_jp3BJkN7Q it is very beneficial bro .bcz u can get all solution regarding these  from here,en
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9DkUcB86SQQ,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,Vivek negi,@nathan manju Thank you for your reply,2020-09-18T14:17:52Z,0,@nathan manju Thank you for your reply,en
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9D6Ql328HzM,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,Vivek negi,Are nptel videos enough for gate ??,2020-09-02T15:35:16Z,0,Are nptel videos enough for gate ??,en
UgyFSSpAYNHp6KZ4w5l4AaABAg.9C7P_iHSHPs9Nd6QZLqRW-,zWg7U0OEAoE,UgyFSSpAYNHp6KZ4w5l4AaABAg,Jagpreet Singh,Thanks dear,2021-05-22T06:45:41Z,0,Thanks dear,en
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks44c8bnP7,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,Pankaj Kumar Pandey,I don’t want to go in depth god bless him. His lecture was very nice. That’s all.,2021-03-14T12:39:39Z,0,I don’t want to go in depth god bless him. His lecture was very nice. That’s all.,en
