replyId,videoId,parentCommentId,replylikesCount,reply
Ugwk4BduA-V1d6U-35R4AaABAg.9Mta--N7vja9OZKRJmju2w,zWg7U0OEAoE,Ugwk4BduA-V1d6U-35R4AaABAg,0,  Umashankar  Singh  bro  70  years  since  we  got  independence      still  they  won't  change  it  because  education  is  controlled  by  stupid  government
Ugwk4BduA-V1d6U-35R4AaABAg.9Mta--N7vja9OZJEEMHZLD,zWg7U0OEAoE,Ugwk4BduA-V1d6U-35R4AaABAg,0,Its  not  Indian  education    it's  mckaley  education  
Ugyl87WZJSP7LMZcEmp4AaABAg.9M4BRenB8pT9NfXyOkRQmw,zWg7U0OEAoE,Ugyl87WZJSP7LMZcEmp4AaABAg,0,This  was  taken  12  14  years  back
UgwqqPC0eCd54QAiATx4AaABAg.9IPsidVtpfj9LL0LyIL5B0,zWg7U0OEAoE,UgwqqPC0eCd54QAiATx4AaABAg,0,it  is  more  than  enough    There  is  not  much  improvement  in  datastructure  algo  technology  These  are  the  building  blocks  of  major  softwares  
UgxniZCOoNr-9NWgBwp4AaABAg.9DLwyO_n1jF9DwSNy3BOhJ,zWg7U0OEAoE,UgxniZCOoNr-9NWgBwp4AaABAg,0,but  the  content  is  awesome              PS    Kindly  checkout  my  channel  for  mock  interview    
UgxniZCOoNr-9NWgBwp4AaABAg.9DLwyO_n1jF9DjUZc4wDZG,zWg7U0OEAoE,UgxniZCOoNr-9NWgBwp4AaABAg,1,You  mean  video  quality    It's  from  2008
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9EYYrlCA53p,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,0,https      www  youtube  com  channel  UCSvlRMaml8RgQ  jp3BJkN7Q  it  is  very  beneficial  bro    bcz  u  can  get  all  solution  regarding  these    from  here
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9DkUcB86SQQ,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,0,  nathan  manju  Thank  you  for  your  reply
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9D6Ql328HzM,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,0,Are  nptel  videos  enough  for  gate      
UgyFSSpAYNHp6KZ4w5l4AaABAg.9C7P_iHSHPs9Nd6QZLqRW-,zWg7U0OEAoE,UgyFSSpAYNHp6KZ4w5l4AaABAg,0,Thanks  dear
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks44c8bnP7,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,0,I  don  t  want  to  go  in  depth  god  bless  him    His  lecture  was  very  nice    That  s  all  
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks3saSTmPT,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,0,I  don  t  know  the  details    when  he  studied  in  Lucknow  
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks1tnaNC45,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,0,  Kgf  Dun  That  time  three  students  of  queens  college  were  position  holder  of  UP  Board    Vijay  kumar  Maurya  second  position    Naveen  Garg  third  position  and  Sachin  Garg  sixth  position  
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks1TNXZmmc,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,0,  Kgf  Dun  No  I  don  t  know  but  he  was  excellent  student  of  queens  college  varanasi  
Ugy9HcOGbB2ZFc4V28d4AaABAg.99yFJywlnE19NQFwrE1yRV,zWg7U0OEAoE,Ugy9HcOGbB2ZFc4V28d4AaABAg,2,Just  amazed  that  this  11  months  old  comment  has  133plus  likes    in  a  vdo  of  which  is  12  years  old  and  definitely  not  within  a  YouTube  algorithm  suggestions        So    kudos  to  all  the  133  distinctive  persons  
Ugy9HcOGbB2ZFc4V28d4AaABAg.99yFJywlnE19Mx7z5qsSyf,zWg7U0OEAoE,Ugy9HcOGbB2ZFc4V28d4AaABAg,1,I  did  one  better    Watching  in  the  2021  quarantine  
UgzFtRO81TMPmHzx7J54AaABAg.98BuDzhIVBB9Ak9ow9VwXn,zWg7U0OEAoE,UgzFtRO81TMPmHzx7J54AaABAg,1,Hi  Nikitha    please  check  out  the  transcripts  section  here  at  https      nptel  ac  in  courses  106  102  106102064        not  the  slides  but  could  help  you  a  bit  
UgzuMKD17cBX42gxMUR4AaABAg.977AuE2JA0697LLjufOaLP,zWg7U0OEAoE,UgzuMKD17cBX42gxMUR4AaABAg,0,He  covered  in  depth
UgxifMtx-mJQ3z91FQd4AaABAg.90y-_q_TmFR91ms0nfEcEZ,zWg7U0OEAoE,UgxifMtx-mJQ3z91FQd4AaABAg,0,Which  language  is  used
Ugx6m5oufDGLdRxdXFR4AaABAg.9--p8uXC-Aq9OdyjnCabhp,zWg7U0OEAoE,Ugx6m5oufDGLdRxdXFR4AaABAg,0,Old  is  gold
Ugx6m5oufDGLdRxdXFR4AaABAg.9--p8uXC-Aq9AHStqLivh7,zWg7U0OEAoE,Ugx6m5oufDGLdRxdXFR4AaABAg,11,you  missed  a  'g'  before  old
Ugx6m5oufDGLdRxdXFR4AaABAg.9--p8uXC-Aq92w2aMB972u,zWg7U0OEAoE,Ugx6m5oufDGLdRxdXFR4AaABAg,3,  IITASPIRANT  ASWIN  Even    I  want  to  start  with  this  so    is  it  worth  giving  time  to  these  old  videos    Or  should  I  try  with  new  ones      
Ugy3boj1VQiCYI-vZcV4AaABAg.8vy232rh-Fc8w7HZVEwy4r,zWg7U0OEAoE,Ugy3boj1VQiCYI-vZcV4AaABAg,2,Since  tj  is  summed  from  j  2  to  j  n    then  the  summation  in  case  of  tj      j  becomes    t2  t3          tn      2  3  4            n      n    n  1    2      1        n  2  2                      f  n  2      
UgySOAn4vn-RYj_GdiB4AaABAg.8v_mrNSctcB9NCV4hOrGDq,zWg7U0OEAoE,UgySOAn4vn-RYj_GdiB4AaABAg,0,  Aero  Dynamico  I  agree    writing  on  a  tablet  would  also  be  a  better  option    But  this  lazy  ass  is  just  reading  the  slides  that  are  already  pre  written    More  like  a  newscaster    Anyone  could  read  out  if  given  those  slides  
UgySOAn4vn-RYj_GdiB4AaABAg.8v_mrNSctcB9Mx7nEwhASS,zWg7U0OEAoE,UgySOAn4vn-RYj_GdiB4AaABAg,0,Oh    that  standing  and  writing  on  the  whiteboard    which  is  just  a  substitute  for  the  old  blackboard    era  is  GONE    Now  all  sit  on  their  ass    as  you  put  it    and  write  on  a  tablet    the  cam  focuses  on  what  she  writes    blows  it  up    and  presents  it  to  you    No  more  big  whiteboards    no  need  to  stand  up  
UgwMaLk-9NbKhqSQa794AaABAg.8pP1UMvLIMq8rPf0-dMKUS,zWg7U0OEAoE,UgwMaLk-9NbKhqSQa794AaABAg,1,it  was  i  guess  pseudo  code  so  don't  bother  but  i  even  dont  understand  the  algo  lol    why  he  is  doing  s      s    i  1  
